Pepsic|A Peste : Revista de Psicanálise e Sociedade||A Peste, Rev. Psicanál. Soc.|apeste|2175-6104|1775-1851|2175-6104|Universidade de São Paulo e Pontifícia Universidade Católica de São Paulo
Spain|A||a|psi|2173-4712||2173-4712|Colegio Oficial de Psicólogos de Madrid
Argentina|Acta Odontológica Latinoamericana||Acta odontol. latinoam.|aol|1852-4834||1852-4834|Sociedad Argentina de Investigación Odontológica|by-nc/4.0
Venezuela|Acta Odontológica Venezolana||Acta odontol. venez|aov|0001-6365|0001-6365||Facultad de Odontología -UCV
Brazil|Acta Ortopédica Brasileira|Acta Ortop Bras|Acta ortop. bras.|aob|1413-7852|1413-7852|1809-4406|Sociedade Brasileira de Ortopedia e Traumatologia|by-nc/4.0
Mexico|Acta ortopédica mexicana||Acta ortop. mex|aom|2306-4102|2306-4102||Colegio Mexicano de Ortopedia y Traumatología A.C.|by-nc/3.0
Brazil|Acta Paulista de Enfermagem||Acta paul. enferm.|ape|0103-2100|0103-2100|1982-0194|Escola Paulista de Enfermagem, Universidade Federal de São Paulo|by-nc/4.0
Costa Rica|Acta Pediátrica Costarricense||Acta pediátr. costarric|apc|1409-0090|1409-0090||Asociación Costarricense de Pediatría
Mexico|Acta poética||Acta poét|ap|0185-3082|0185-3082||Universidad Nacional Autónoma de México, Instituto de Investigaciones Filológicas|by-nc/3.0
Brazil|Acta Scientiarum. Agronomy||Acta Sci., Agron.|asagr|1807-8621||1807-8621|Editora da Universidade Estadual de Maringá - EDUEM|by/4.0
Brazil|Acta Scientiarum. Animal Sciences||Acta Sci., Anim. Sci.|asas|1807-8672||1807-8672|Editora da Universidade Estadual de Maringá - EDUEM|by/4.0
South Africa|Acta Theologica||Acta theol.|at|1015-8758|1015-8758|2309-9089|University of the Free State
Argentina|Acta toxicológica argentina||Acta toxicol. argent.|ata|1851-3743||1851-3743|Asociación Toxicológica Argentina|by-nc/4.0
Mexico|Acta zoológica mexicana||Acta Zool. Mex|azm|0065-1737|0065-1737||Instituto de Ecología A.C.|by-nc/3.0
Spain|Actas Urológicas Españolas|Actas Urol Esp|Actas Urol Esp|aue|0210-4806|0210-4806||Asociación Española de Urología
Colombia|Actualidades Biológicas||Actu Biol|acbi|0304-3584|0304-3584||Instituto de Biología, Universidad de Antioquia
Pepsic|Actualidades en psicología||Actual. psicol.|apsi|0258-6444||0258-6444|Universidad de Costa Rica. Facultad de Ciencias Sociales. Instituto de Investigaciones Psicológicas|by-nc/4.0
Costa Rica|Actualidades Investigativas en Educación||Rev. Actual. Investig. Educ|aie|1409-4703||1409-4703|Instituto de Investigación en Educación, Universidad de Costa Rica|by-nc/3.0
Colombia|AD-minister||AD-minister|adter|1692-0279|1692-0279||Escuela de Administración  de la Universidad EAFIT|by/4.0
Costa Rica|Adolescencia y Salud||Adolesc. salud|as|1409-4185|1409-4185||Caja Costarricense de Seguro Social. Programa Atención Integral del Adolescente
South Africa|Africa Insight||Afr. insight|ains|1995-641X|1995-641X|0256-2804|Africa Institute of South Africa
South Africa|African Human Rights Law Journal||Afr. hum. rights law j.|ahrlj|1996-2096|1996-2096|1609-073X|Centre of Human Rights, Faculty of Law, University of Pretoria
South Africa|African Journal for Physical, Health Education, Recreation and Dance||AJPHERD|ajpherd|1117-4315|1117-4315||University of Venda: Centre for Biokinetics and Sport Science
South Africa|African Journal of Laboratory Medicine||Afr. J. Lab. Med.|ajlm|2225-2010|2225-2010|2225-2002|AOSIS Publishing|by-nc/4.0
South Africa|African Journal of Primary Health Care & Family Medicine||Afr. j. prim. health care fam. med. (Online)|phcfm|2071-2936|2071-2936|2071-2928|AOSIS Publishing|by-nc/4.0
South Africa|African Natural History||Afr. nat. history (Online)|anh|2305-7963|2305-7963|1816-8396|Iziko Museum of South Africa
Brazil|Afro-Ásia||Afro-Ásia|afro|0002-0591|0002-0591|1981-1411|Universidade Federal da Bahia|by-nc/4.0
Mexico|Agricultura técnica en México||Agric. Téc. Méx|agritm|0568-2517|0568-2517||Instituto Nacional de Investigaciones Forestales, Agrícolas y Pecuarias|by-nc/3.0
Chile|Agricultura Técnica||Agric. Téc.|agrtec|0365-2807|0365-2807||Instituto de Investigaciones Agropecuarias, INIA|by-nc/4.0
Mexico|Agricultura, sociedad y desarrollo||agric. soc. desarro|asd|1870-5472|1870-5472||Colegio de Postgraduados|by-nc/3.0
Argentina|Agriscientia||Agriscientia|agrisc|1668-298X||1668-298X|Facultad de Ciencias Agropecuarias. Universidad Nacional de Córdoba|by-nc/4.0
Venezuela|Agroalimentaria||Agroalim|a|1316-0354|1316-0354||Centro de Investiagciones Agroalimentarias (CIAAL), Facultad de Ciencias Económicas y Sociales, Universidad de los Andes
Uruguay|Agrociencia Uruguay||Agrociencia Uruguay|agro|2301-1548||2301-1548|Facultad de Agronomía - Instituto Nacional de Investigación Agropecuaria|by/4.0
Mexico|Agrociencia||Agrociencia|agro|1405-3195|1405-3195||Colegio de Postgraduados|by-nc/3.0
Colombia|Agronomía Colombiana||Agron. colomb.|agc|0120-9965|0120-9965||Universidad Nacional de Colombia, Facultad de Agronomía|by/4.0
Costa Rica|Agronomía Costarricense||Agron. Costarricense|ac|0377-9424|0377-9424||Universidad de Costa Rica. Colegio de Ingenieros y Agrónomos. Ministerio de Agricultura y Ganadería|by-nc/4.0
Costa Rica|Agronomía Mesoamericana||Agron. Mesoam|am|1659-1321|1659-1321|1021-7444|Universidad de Costa Rica. Programa Cooperativo Centroamericano para el Mejoramiento Cultivos y Animales|by-nc/3.0
Venezuela|Agronomía Tropical||Agronomía Trop.|at|0002-192X|0002-192X||Instituto Nacional de Investigaciones Agrícolas INIA de Venezuela
Chile|Aisthesis||Aisthesis|aisthesis|0718-7181||0718-7181|Pontificia Universidad Católica de Chile, Facultad de Filosofía, Instituto de Estética|by-nc/4.0
Bolivia|Ajayu Órgano de Difusión Científica del Departamento de Psicología UCBSP||RAP|rap|2077-2161||2077-2161|Universidad Cátolica Boliviana "San Pablo"|by-nc-sa/4.0
Brazil|Alea : Estudos Neolatinos||Alea|alea|1517-106X|1517-106X|1807-0299|Programa de Pos-Graduação em Letras Neolatinas, Faculdade de Letras -UFRJ|by-nc/4.0
Pepsic|Aletheia||Aletheia|aletheia|1413-0394|1413-0394||Universidade Luterana do Brasil|by-nc/4.0
Brazil|Alfa : Revista de Linguística (São José do Rio Preto)||Alfa, rev. linguíst. (São José Rio Preto)|alfa|1981-5794||1981-5794|Universidade Estadual Paulista Júlio de Mesquita Filho|by/4.0
Chile|Alpha (Osorno)||Alpha|alpha|0718-2201||0718-2201|Universidad de Los Lagos. Departamento de Humanidades y Arte|by-nc/4.0
Mexico|Alteridades||Alteridades|alte|0188-7017|0188-7017||UAM, Unidad Iztapalapa, División de Ciencias Sociales y Humanidades|by-nc/3.0
Pepsic|Alternativas en Psicología||Altern. psicol.|alpsi|1405-339X|1405-339X||Asociación Mexicana de Alternativas en Psicología|by-nc/4.0
Brazil|Ambiente & Sociedade||Ambient. soc.|asoc|1414-753X|1414-753X|1809-4422|ANPPAS - Revista Ambiente e Sociedade|by-nc/4.0
Social Sciences|Ambiente & sociedade||Ambient. soc.|s_asoc|1414-753X|1414-753X|1809-4422|ANPPAS|by-nc/4.0
Brazil|Ambiente Construído||Ambient. constr.|ac|1678-8621||1678-8621|Associação Nacional de Tecnologia do Ambiente Construído - ANTAC|by/4.0
Argentina|Ameghiniana||Ameghiniana|ameg|0002-7014|0002-7014|1851-8044|Asociación Paleontológica Argentina|by-nc/4.0
Mexico|América Latina en la historia económica||Am. Lat. Hist. Econ|alhe|1405-2253|1405-2253|2007-3496|Instituto de Investigaciones Dr. José María Luis Mora|by-nc/3.0
Colombia|Anagramas -Rumbos y sentidos de la comunicación-||anagramas rumbos sentidos comun.|angr|1692-2522|1692-2522||Sello Editorial - Universidad de Medellín|by-nc/4.0
Brazil|Anais Brasileiros de Dermatologia|An Bras Dermatol|An. Bras. Dermatol.|abd|0365-0596|0365-0596|1806-4841|Sociedade Brasileira de Dermatologia|by-nc/4.0
Brazil|Anais da Academia Brasileira de Ciências|An Acad Bras Cienc|An. Acad. Bras. Ciênc.|aabc|0001-3765|0001-3765|1678-2690|Academia Brasileira de Ciências|by/4.0
Brazil|Anais da Escola Superior de Agricultura Luiz de Queiroz||An. Esc. Super. Agric. Luiz de Queiroz|aesalq|0071-1276|0071-1276|2316-8935|Universidade de São Paulo|by-nc/4.0
Brazil|Anais da Sociedade Entomológica do Brasil||An. Soc. Entomol. Bras.|aseb|0301-8059|0301-8059|1981-5328|Sociedade Entomológica do Brasil|by-nc/4.0
Brazil|Anais do Museu Paulista: História e Cultura Material||An. mus. paul.|anaismp|0101-4714|0101-4714|1982-0267|Museu Paulista, Universidade de São Paulo|by/4.0
Argentina|Anales de arqueología y etnología||An. arqueol. etnol.|aaet|0325-0288|0325-0288||Universidad Nacional de Cuyo; Facultad de Filosofía y Letras; Instituto de Arqueología y Etnología|by-nc/4.0
Argentina|Anales de la Asociación Química Argentina||An. Asoc. Quím. Argent.|aaqa|0365-0375|0365-0375||Asociación Química Argentina|by-nc/4.0
Peru|Anales de la Facultad de Medicina||An. Fac. med.|afm|1025-5583|1025-5583||Universidad Nacional Mayor de San Marcos. Facultad de Medicina|by-nc/4.0
Spain|Anales de Medicina Interna|An Med Interna|An. Med. Interna (Madrid)|ami|0212-7199|0212-7199||Arán Ediciones, S. L.
Spain|Anales de Psicología||Anal. Psicol.|ap|0212-9728|0212-9728||Universidad de Murcia
Argentina|Anales del Instituto de Arte Americano e Investigaciones Estéticas Mario J. Buschiazzo||An. Inst. Arte Am. Investig. Estét. Mario J. Buschiazzo|anales|2362-2024||2362-2024|Universidad de Buenos Aires. Instituto de Arte Americano e Investigaciones Estéticas Mario J. Buschiazzo|by-nc/4.0
Mexico|Anales del Instituto de Investigaciones Estéticas||An. Inst. Investig. Estét|aiie|0185-1276|0185-1276||Universidad Nacional Autónoma de México, Instituto de Investigaciones Estéticas|by-nc/3.0
Chile|Anales del Instituto de la Patagonia||Anales Instituto Patagonia (Chile)|ainpat|0718-686X||0718-686X|Universidad de Magallanes|by-nc/4.0
Spain|Anales del Sistema Sanitario de Navarra||Anales Sis San Navarra|asisna|1137-6627|1137-6627||Gobierno de Navarra. Departamento de Salud
Venezuela|Anales Venezolanos de Nutrición||An Venez Nutr|avn|0798-0752|0798-0752||Fundación Bengoa
Pepsic|Analytica: Revista de Psicanálise||Analytica|analytica|2316-5197||2316-5197|Núcleo de Pesquisa e Extensão em Psicanálise (Nupep) da Universidade Federal de São João del-Rei|by-nc/4.0
Argentina|Anclajes||Anclajes|anclajes|1851-4669||1851-4669|Instituto de Investigaciones Literarias y Discursivas (IILyD). Facultad de Ciencias Humanas, Universidad Nacional de La Pampa|by-nc/4.0
Mexico|Andamios||Andamios|anda|1870-0063|1870-0063||Colegio de Humanidades y Ciencias Sociales, Universidad Autónoma de la Ciudad de México|by-nc/3.0
Chile|Andean geology||AndGeo|andgeol|0718-7106||0718-7106|Servicio Nacional de Geología y Minería (SERNAGEOMIN)|by/4.0
Argentina|Andes||Andes|andes|1668-8090||1668-8090|Universidad Nacional de Salta. Facultad de Humanidades. Centro Promocional de Investigaciones en Historia y Antropología "Dr. Guillermo Madrazo" (CEPIHA)|by-nc/4.0
Uruguay|Anestesia Analgesia Reanimación||Anest Analg Reanim|aar|1688-1273||1688-1273|Sociedad de Anestesiología del Uruguay|by-nc/4.0
Portugal|Angiologia e Cirurgia Vascular||Angiol Cir Vasc|ang|1646-706X|1646-706X||Sociedade Portuguesa de Angiologia e Cirurgia Vascular|by-nc/4.0
Public Health|Annali dell'Istituto Superiore di Sanità||Ann. Ist. Super. Sanità|aiss|0021-2571|0021-2571||Istituto Superiore di Sanità
Peru|Anthropologica||Anthropologica|anthro|0254-9212|0254-9212||Pontificia Universidad Católica del Perú. Departamento de Ciencias Sociales|by-nc/4.0
Colombia|Antipoda. Revista de Antropología y Arqueología||Antipod. Rev. Antropol. Arqueol.|antpo|1900-5407|1900-5407||Departamento de Antropología, Facultad de Ciencias Sociales, Universidad de los Andes
Colombia|Anuario Colombiano de Historia Social y de la Cultura||Anu. colomb. hist. soc. cult.|achsc|0120-2456|0120-2456||Universidad Nacional de Colombia, Facultad de Ciencias Humanas, Departamento de Historia.|by/4.0
Colombia|Anuario de Historia Regional y de las Fronteras||Anu.hist.reg.front.|rahrf|0122-2066|0122-2066||Universidad Industrial de Santander|by-nc/4.0
Argentina|Anuario de investigaciones||Anu. investig.|anuinv|1851-1686||1851-1686|Universidad de Buenos Aires. Facultad de Psicología|by-nc/4.0
Mexico|Anuario mexicano de derecho internacional||Anu. Mex. Der. Inter|amdi|1870-4654|1870-4654||UNAM, Instituto de Investigaciones Jurídicas|by-nc/3.0
Portugal|Análise Psicológica||Aná. Psicológica|aps|0870-8231|0870-8231|1646-6020|Instituto Superior de Psicologia Aplicada|by-nc/4.0
Portugal|Análise Social||Anál. Social|aso|0003-2573|0003-2573||Instituto de Ciências Sociais da Universidade de Lisboa|by/4.0
Argentina|Análisis filosófico||Anal. filos.|anafil|1851-9636||1851-9636|SADAF|by-nc/4.0
Colombia|Análisis Político||anal.polit.|anpol|0121-4705|0121-4705||Instituto de Estudios Políticos y Relaciones Internacionales (IEPRI), Universidad Nacional de Colombia|by/4.0
Peru|Apuntes||Apuntes|apuntes|0252-1865|0252-1865||Universidad del Pacífico. Centro de Investigación|by-nc/4.0
Colombia|Apuntes: Revista de Estudios sobre Patrimonio Cultural - Journal of Cultural Heritage Studies||Apuntes|apun|1657-9763|1657-9763||Pontificia Universidad Javeriana
Colombia|Aquichán||Aquichán|aqui|1657-5997|1657-5997||Universidad de La Sabana
Brazil|Archives of Clinical Psychiatry (São Paulo)||Arch. Clin. Psychiatry (São Paulo)|rpc|0101-6083|0101-6083|1806-938X|Faculdade de Medicina da Universidade de São Paulo|by/4.0
Brazil|Archives of Endocrinology and Metabolism|Arch Endocrinol Metab|Arch. Endocrinol. Metab.|aem|2359-3997|2359-3997|2359-4292|Sociedade Brasileira de Endocrinologia e Metabologia|by/4.0
Argentina|Archivos argentinos de pediatría|Arch Argent Pediatr|Arch. argent. pediatr.|aap|0325-0075|0325-0075|1668-3501|Sociedad Argentina de Pediatría|by-nc/4.0
Mexico|Archivos de cardiología de México||Arch. Cardiol. Méx.|acm|1405-9940|1405-9940||Elsevier|by-nc/3.0
Spain|Archivos de la Sociedad Española de Oftalmología|Arch Soc Esp Oftalmol|Arch Soc Esp Oftalmol|aseo|0365-6691|0365-6691||Sociedad Española de Oftalmología
Uruguay|Archivos de Medicina Interna||Arch Med Int|ami|1688-423X||1688-423X|Prensa Medica Latinoamericana|by-nc/4.0
Chile|Archivos de medicina veterinaria||Arch. med. vet.|amv|0301-732X|0301-732X||Facultad de Ciencias Veterinarias, Universidad Austral de Chile|by-nc/4.0
Mexico|Archivos de neurociencias (México, D.F.)||Arch. Neurocien. (Mex., D.F.)|aneuroc|0187-4705|0187-4705||Instituto Nacional de Neurología y Neurocirugía|by-nc/3.0
Uruguay|Archivos de Pediatría del Uruguay||Arch. Pediatr. Urug.|adp|1688-1249||1688-1249|Sociedad Uruguaya de Pediatría|by-nc/4.0
Spain|Archivos de Zootecnia||Arch. zootec.|azoo|0004-0592|0004-0592||Universidad de Córdoba
Spain|Archivos Españoles de Urología (Ed. impresa)|Arch. Esp. Urol.|Arch. Esp. Urol.|urol|0004-0614|0004-0614||INIESTARES, S.A.
Venezuela|Archivos Latinoamericanos de Nutrición||ALAN|alan|0004-0622|0004-0622||Sociedad Latinoamericana de Nutrición
Venezuela|Archivos Venezolanos de Farmacología y Terapéutica||AVFT|avft|0798-0264|0798-0264||Sociedad Venezolana de Farmacológia  y Farmacológia Clínica y Terapéutica. Escuela de Medicina
Venezuela|Archivos Venezolanos de Puericultura y Pediatría||Arch Venez Puer Ped|avpp|0004-0649|0004-0649||Sociedad Venezolana de Puericultura y Pediatría
Peru|Areté||arete|arete|1016-913X|1016-913X||Pontificia Universidad Católica del Perú . Departamento de Humanidades|by-nc/4.0
Argentina|Argos||Argos|argos|1853-6379||1853-6379|Asociación Argentina de Estudios Clásicos|by-nc/4.0
Venezuela|Argos||Argos|ag|0254-1637|0254-1637||División de Ciencias Sociales y Humanidades
Mexico|Argumentos (México, D.F.)||Argumentos (Méx.)|argu|0187-5795|0187-5795||División de Ciencias Sociales y Humanidades, UAM-Unidad Xochimilco|by-nc/3.0
Portugal|ARKEOS - perspectivas em diálogo||ARKEOS|ark|0873-593X|0873-593X||CEIPHAR - Centro Europeu de Investigação da Pré-História do Alto Ribatejo
Chile|ARQ (Santiago)||ARQ (Santiago)|arq|0717-6996||0717-6996|Pontificia Universidad Católica de Chile, Escuela de Arquitectura|by-nc/4.0
Argentina|Arqueología||Arqueología|arque|1853-8126||1853-8126| Instituto de Arqueología, Facultad de Filosofía y Letras, Universidad de Buenos Aires|by-nc/4.0
Cuba|Arquitectura y Urbanismo||au|au|1815-5898||1815-5898|Instituto Superior Politécnico José Antonio Echeverría|by-nc/4.0
Brazil|Arquivo Brasileiro de Medicina Veterinária e Zootecnia||Arq. Bras. Med. Vet. Zootec.|abmvz|0102-0935|0102-0935|1678-4162|Universidade Federal de Minas Gerais, Escola de Veterinária|by/4.0
Brazil|Arquivos Brasileiros de Cardiologia|Arq Bras Cardiol|Arq. Bras. Cardiol.|abc|0066-782X|0066-782X|1678-4170|Sociedade Brasileira de Cardiologia - SBC|by/4.0
Brazil|Arquivos Brasileiros de Endocrinologia & Metabologia|Arq Bras Endocrinol Metabol.|Arq Bras Endocrinol Metab|abem|0004-2730|0004-2730|1677-9487|Sociedade Brasileira de Endocrinologia e Metabologia|by-nc/4.0
Brazil|Arquivos Brasileiros de Oftalmologia|Arq Bras Oftalmol|Arq. Bras. Oftalmol.|abo|0004-2749|0004-2749|1678-2925|Conselho Brasileiro de Oftalmologia|by/4.0
Pepsic|Arquivos Brasileiros de Psicologia||Arq. bras. psicol.|arbp|1809-5267||1809-5267|Universidade Federal do Rio de Janeiro|by-nc/4.0
Brazil|Arquivos de Gastroenterologia|Arq Gastroenterol|Arq. Gastroenterol.|ag|0004-2803|0004-2803|1678-4219|Instituto Brasileiro de Estudos e Pesquisas de Gastroenterologia - IBEPEGE|by-nc/4.0
Portugal|Arquivos de Medicina||Arq Med|am|0871-3413|0871-3413|2183-2447|ArquiMed - Edições Científicas AEFMUP|by-nc/4.0
Brazil|Arquivos de Neuro-Psiquiatria|Arq Neuropsiquiatr|Arq. Neuro-Psiquiatr.|anp|0004-282X|0004-282X|1678-4227|Academia Brasileira de Neurologia - ABNEURO|by/4.0
Brazil|Arquivos do Instituto Biológico||Arq. Inst. Biol.|aib|1808-1657||1808-1657|Instituto Biológico|by-nc/4.0
Brazil|Arquivos Internacionais de Otorrinolaringologia||Arquivos Int. Otorrinolaringol.|aio|1809-4872|1809-4872|1809-4856|Fundação Otorrinolaringologia|by-nc/4.0
Brazil|ARS (São Paulo)||ARS (São Paulo)|ars|1678-5320|1678-5320|2178-0447|Escola de Comunicações e Artes da Universidade de São Paulo|by-nc/4.0
Spain|Ars Pharmaceutica (Internet)||Ars Pharm|ars|2340-9894||2340-9894|Universidad de Granada
Chile|Atenea (Concepción)||Atenea (Concepc.)|atenea|0718-0462||0718-0462|Universidad de Concepción|by-nc/4.0
Mexico|Atmósfera||Atmósfera|atm|0187-6236|0187-6236||Centro de Ciencias de la Atmósfera, UNAM|by-nc/3.0
Brazil|Audiology - Communication Research||Audiol., Commun. Res.|acr|2317-6431||2317-6431|Academia Brasileira de Audiologia|by-nc/4.0
Pepsic|Avaliação Psicológica||Aval. psicol.|avp|1677-0471|1677-0471|2175-3431|Instituto Brasileiro de Avaliação Psicológica|by-nc/4.0
Brazil|Avaliação: Revista da Avaliação da Educação Superior (Campinas)||Avaliação (Campinas)|aval|1414-4077|1414-4077|1982-5765|Universidade de Sorocaba|by-nc/4.0
Colombia|Avances en Enfermería||av.enferm.|aven|0121-4500||0121-4500|Universidad Nacional de Colombia|by/4.0
Spain|Avances en Odontoestomatología|Av Odontoestomatol|Av Odontoestomatol|odonto|0213-1285|0213-1285||Ediciones Avances, S.L.
Spain|Avances en Periodoncia e Implantología Oral||Avances en Periodoncia|peri|1699-6585|1699-6585||Ediciones Avances, S.L.
Colombia|Avances en Psicología Latinoamericana||Av. Psicol. Latinoam.|apl|1794-4724|1794-4724||Universidad del Rosario|by/4.0
Argentina|Avá||Avá|ava|1851-1694||1851-1694|Universidad Nacional de Misiones. Facultad de Humanidades y Ciencias Sociales. Secretaría de Investigación. Programa de Posgrado en Antropología Social.|by-nc/4.0
Argentina|BAG. Journal of basic and applied genetics||BAG, J. basic appl. genet.|bag|1852-6233||1852-6233|Sociedad Argentina de Genética|by-nc/4.0
Brazil|Bakhtiniana: Revista de Estudos do Discurso||Bakhtiniana, Rev. Estud. Discurso|bak|2176-4573||2176-4573|LAEL/PUC-SP (Programa de Estudos Pós-Graduados em Linguística Aplicada e Estudos da Linguagem da Pontifícia Universidade Católica de São Paulo)|by/4.0
Brazil|BAR - Brazilian Administration Review||BAR, Braz. Adm. Rev.|bar|1807-7692||1807-7692| ANPAD - Associação Nacional de Pós-Graduação e Pesquisa em Administração|by-nc/4.0
Pepsic|Barbaroi||Barbaroi|barbaroi|0104-6578|0104-6578||Universidade de Santa Cruz do Sul - UNISC|by-nc/4.0
Venezuela|Bioagro||Bioagro|ba|1316-3361|1316-3361||Decanato de Agronomía de la Universidad Centroccidental "Lisandro Alvarado" (UCLA)
Argentina|Biocell|Biocell (Mendoza)|Biocell|biocell|0327-9545|0327-9545|1667-5746|Sociedad Latinoamericana de Microscopía Electrónica.; Centro Regional de Investigaciones Científicas y Tecnológicas (Mendoza, Argentina)|by-nc/4.0
Chile|Biological Research||Biol. Res.|bres|0716-9760|0716-9760||Sociedad de Biología de Chile|by/4.0
Colombia|Biomédica||Biomédica|bio|0120-4157|0120-4157||Instituto Nacional de Salud|by/4.0
Colombia|Biosalud||Biosalud|biosa|1657-9550|1657-9550||Universidad de Caldas
Brazil|Biota Neotropica||Biota Neotrop.|bn|1676-0603|1676-0603|1676-0611|Instituto Virtual da Biodiversidade | BIOTA - FAPESP|by/4.0
Cuba|Biotecnología Aplicada||Biotecnol Apl|bta|1027-2852||1027-2852|Editorial Elfos Scientiae|by-nc/4.0
Colombia|Biotecnología en el Sector Agropecuario y Agroindustrial||Rev.Bio.Agro|bsaa|1692-3561|1692-3561||Taller Editorial Universidad del Cauca
Brazil|Bolema: Boletim de Educação Matemática||Bolema|bolema|0103-636X|0103-636X|1980-4415|UNESP - Universidade Estadual Paulista, Pró-Reitoria de Pesquisa|by-nc-nd/4.0
Pepsic|Boletim - Academia Paulista de Psicologia||Bol. - Acad. Paul. Psicol.|bapp|1415-711X|1415-711X||Academia Paulista de Psicologia|by-nc/4.0
Brazil|Boletim de Ciências Geodésicas||Bol. Ciênc. Geod.|bcg|1982-2170||1982-2170|Universidade Federal do Paraná|by/4.0
Pepsic|Boletim de formação em psicanálise||Bol. form. psicanal.|bolfp|1517-4506||1517-4506|Instituto Sedes Sapientiae. Departamento de Formação em Psicanálise|by-nc/4.0
Pepsic|Boletim de Psicologia||Bol. psicol|bolpsi|0006-5943|0006-5943||Associação de Psicologia de São Paulo|by-nc/4.0
Brazil|Boletim do Instituto Oceanográfico||Bol. Inst. Oceanogr.|bioce|0373-5524|0373-5524||Instituto Oceanográfico da Universidade de São Paulo|by-nc/4.0
Brazil|Boletim do Instituto Paulista de Oceanografia||Bol. Inst. Paul. Oceanogr.|bipoce|0100-4239|0100-4239||Instituto Oceanográfico da Universidade de São Paulo|by-nc/4.0
Brazil|Boletim do Museu Paraense Emílio Goeldi. Ciências Humanas||Bol. Mus. Para. Emílio Goeldi. Ciênc. hum.|bgoeldi|1981-8122|1981-8122|2178-2547|MCTI/Museu Paraense Emílio Goeldi|by/4.0
Colombia|Boletin de Geología||bol.geol.|boge|0120-0283|0120-0283||Universidad Industrial de Santander
Venezuela|Boletin de Linguistica||Boletin de lingüistica|bl|0798-9709|0798-9709||FACES - UCV
