Costa Rica|Acta Médica Costarricense||Acta méd. costarric|amc|0001-6002|0001-6002|0001-6012|Colegio de Médicos y Cirujanos de Costa Rica
Peru|Acta Médica Peruana||Acta méd. peruana|amp|1728-5917||1728-5917|Colegio Médico del Perú
Colombia|Acta Neurológica Colombiana||Acta Neurol Colomb.|anco|0120-8748|0120-8748||Asociación Colombiana de Neurología
Argentina|Acta Odontológica Latinoamericana||Acta odontol. latinoam.|aol|1852-4834||1852-4834|Sociedad Argentina de Investigación Odontológica
Brazil|Acta Ortopédica Brasileira|Acta Ortop Bras|Acta ortop. bras.|aob|1413-7852|1413-7852||Sociedade Brasileira de Ortopedia e Traumatologia
Mexico|Acta ortopédica mexicana||Acta ortop. mex|aom|2306-4102|2306-4102||Colegio Mexicano de Ortopedia y Traumatología A.C.
Brazil|Acta Paulista de Enfermagem||Acta paul. enferm.|ape|0103-2100|0103-2100|1982-0194|Escola Paulista de Enfermagem, Universidade Federal de São Paulo
Costa Rica|Acta Pediátrica Costarricense||Acta pediátr. costarric|apc|1409-0090|1409-0090||Asociación Costarricense de Pediatría
Mexico|Acta poética||Acta poét|ap|0185-3082|0185-3082||Universidad Nacional Autónoma de México, Instituto de Investigaciones Filológicas
Brazil|Acta Scientiarum. Agronomy||Acta Sci., Agron.|asagr|1807-8621||1807-8621|Editora da Universidade Estadual de Maringá - EDUEM
Brazil|Acta Scientiarum. Animal Sciences||Acta Sci., Anim. Sci.|asas|1807-8672||1807-8672|Editora da Universidade Estadual de Maringá - EDUEM
South Africa|Acta Theologica||Acta theol.|at|1015-8758|1015-8758||University of the Free State
Argentina|Acta toxicológica argentina||Acta toxicol. argent.|ata|1851-3743||1851-3743|Asociación Toxicológica Argentina
Mexico|Acta zoológica mexicana||Acta Zool. Mex|azm|0065-1737|0065-1737||Instituto de Ecología A.C.
Spain|Actas Urológicas Españolas|Actas Urol Esp|Actas Urol Esp|aue|0210-4806|0210-4806||Asociación Española de Urología
Colombia|Actualidades Biológicas||Actu Biol|acbi|0304-3584|0304-3584||Instituto de Biología, Universidad de Antioquia
Costa Rica|Actualidades Investigativas en Educación||Rev. Actual. Investig. Educ|aie|1409-4703||1409-4703|Instituto de Investigación en Educación, Universidad de Costa Rica
Colombia|AD-minister||AD-minister|adter|1692-0279|1692-0279||Escuela de Administración de la Universidad EAFIT
Costa Rica|Adolescencia y Salud||Adolesc. salud|as|1409-4185|1409-4185||Caja Costarricense de Seguro Social. Programa Atención Integral del Adolescente
South Africa|African Human Rights Law Journal||Afr. hum. rights law j.|ahrlj|1996-2096|1996-2096||Centre of Human Rights, Faculty of Law, University of Pretoria
South Africa|African Journal of Primary Health Care & Family Medicine||Afr. j. prim. health care fam. med. (Online)|phcfm|2071-2930|2071-2930||AOSIS OpenJournals®
South Africa|African Natural History||Afr. nat. history (Online)|anh|2305-7963|2305-7963||Iziko Museum of South Africa
Brazil|Afro-Ásia||Afro-Ásia|afro|0002-0591|0002-0591||Universidade Federal da Bahia
Mexico|Agricultura técnica en México||Agric. Téc. Méx|agritm|0568-2517|0568-2517||Instituto Nacional de Investigaciones Forestales, Agrícolas y Pecuarias
Chile|Agricultura Técnica||Agric. Téc.|agrtec|0365-2807|0365-2807||Instituto de Investigaciones Agropecuarias, INIA
Mexico|Agricultura, sociedad y desarrollo||agric. soc. desarro|asd|1870-5472|1870-5472||Colegio de Postgraduados
Argentina|Agriscientia||Agriscientia|agrisc|1668-298X||1668-298X|Facultad de Ciencias Agropecuarias. Universidad Nacional de Córdoba
Uruguay|Agrociencia Uruguay||Agrociencia Uruguay|agro|1510-0839||1510-0839|FA-INIA
Mexico|Agrociencia||Agrociencia|agro|1405-3195|1405-3195||Colegio de Postgraduados
Colombia|Agronomía Colombiana||Agron. colomb.|agc|0120-9965|0120-9965||Universidad Nacional de Colombia, Facultad de Agronomía
Costa Rica|Agronomía Costarricense||Agron. Costarricense|ac|0377-9424|0377-9424||Universidad de Costa Rica. Colegio de Ingenieros y Agrónomos. Ministerio de Agricultura y Ganadería
Costa Rica|Agronomía Mesoamericana||Agron. Mesoam|am|1659-1321|1659-1321|1021-7444|Universidad de Costa Rica. Programa Cooperativo Centroamericano para el Mejoramiento Cultivos y Animales
Chile|Aisthesis||Aisthesis|aisthesis|0718-7181||0718-7181|Pontificia Universidad Católica de Chile, Facultad de Filosofía, Instituto de Estética
Bolivia|Ajayu Órgano de Difusión Científica del Departamento de Psicología UCBSP||RAP|rap|2077-2161|2077-2161||Universidad Cátolica Boliviana "San Pablo"
Brazil|Alea : Estudos Neolatinos||Alea|alea|1517-106X|1517-106X||Programa de Pos-Graduação em Letras Neolatinas, Faculdade de Letras -UFRJ
Brazil|Alfa : Revista de Linguística (São José do Rio Preto)||Alfa, rev. linguíst. (São José Rio Preto)|alfa|1981-5794||1981-5794|Universidade Estadual Paulista Júlio de Mesquita Filho
Chile|Alpha (Osorno)||Alpha|alpha|0718-2201||0718-2201|Universidad de Los Lagos. Departamento de Humanidades y Arte
Mexico|Alteridades||Alteridades|alte|0188-7017|0188-7017||UAM, Unidad Iztapalapa, División de Ciencias Sociales y Humanidades
Brazil|Ambiente & Sociedade||Ambient. soc.|asoc|1414-753X|1414-753X|1809-4422|ANPPAS - Revista Ambiente e Sociedade
Social Sciences|Ambiente & sociedade||Ambient. soc.|asoc|1414-753X|1414-753X|1809-4422|ANPPAS
Brazil|Ambiente Construído||Ambient. constr.|ac|1678-8621||1678-8621|Associação Nacional de Tecnologia do Ambiente Construído - ANTAC
Argentina|Ameghiniana||Ameghiniana|ameg|0002-7014|0002-7014|1851-8044|Asociación Paleontológica Argentina
Mexico|América Latina en la historia económica||Am. Lat. Hist. Econ|alhe|1405-2253|1405-2253|2007-3496|Instituto de Investigaciones Dr. José María Luis Mora
Colombia|Anagramas -Rumbos y sentidos de la comunicación-||anagramas rumbos sentidos comun.|angr|1692-2522|1692-2522||Sello Editorial - Universidad de Medellín
Brazil|Anais Brasileiros de Dermatologia|An Bras Dermatol|An. Bras. Dermatol.|abd|0365-0596|0365-0596|1806-4841|Sociedade Brasileira de Dermatologia
Brazil|Anais da Academia Brasileira de Ciências|An Acad Bras Cienc|An. Acad. Bras. Ciênc.|aabc|0001-3765|0001-3765||Academia Brasileira de Ciências
Brazil|Anais da Escola Superior de Agricultura Luiz de Queiroz||An. Esc. Super. Agric. Luiz de Queiroz|aesalq|0071-1276|0071-1276||Universidade de São Paulo-Escola Superior de Agricultura
Brazil|Anais da Sociedade Entomológica do Brasil||An. Soc. Entomol. Bras.|aseb|0301-8059|0301-8059||Sociedade Entomológica do Brasil
Brazil|Anais do Museu Paulista: História e Cultura Material||An. mus. paul.|anaismp|0101-4714|0101-4714||Museu Paulista, Universidade de São Paulo
Argentina|Anales de la Asociación Química Argentina||An. Asoc. Quím. Argent.|aaqa|0365-0375|0365-0375||Asociación Química Argentina
Peru|Anales de la Facultad de Medicina||An. Fac. med.|afm|1025-5583|1025-5583||Universidad Nacional Mayor de San Marcos. Facultad de Medicina
Spain|Anales de Medicina Interna|An Med Interna|An. Med. Interna (Madrid)|ami|0212-7199|0212-7199||Arán Ediciones, S. L.
Spain|Anales de Psicología||Anal. Psicol.|ap|0212-9728|0212-9728||Universidad de Murcia
Mexico|Anales del Instituto de Investigaciones Estéticas||An. Inst. Investig. Estét|aiie|0185-1276|0185-1276||Universidad Nacional Autónoma de México, Instituto de Investigaciones Estéticas
Chile|Anales del Instituto de la Patagonia||Anales Instituto Patagonia (Chile)|ainpat|0718-686X||0718-686X|Universidad de Magallanes
Spain|Anales del Sistema Sanitario de Navarra||Anales Sis San Navarra|asisna|1137-6627|1137-6627||Gobierno de Navarra. Departamento de Salud
Argentina|Anclajes||Anclajes|anclajes|1851-4669||1851-4669|Instituto de Investigaciones Literarias y Discursivas (IILyD). Facultad de Ciencias Humanas, Universidad Nacional de La Pampa
Mexico|Andamios||Andamios|anda|1870-0063|1870-0063||Colegio de Humanidades y Ciencias Sociales, Universidad Autónoma de la Ciudad de México
Chile|Andean geology||AndGeo|andgeol|0718-7106||0718-7106|Servicio Nacional de Geología y Minería (SERNAGEOMIN)
Argentina|Andes||Andes|andes|1668-8090||1668-8090|Universidad Nacional de Salta. Facultad de Humanidades. Centro Promocional de Investigaciones en Historia y Antropología "Dr. Guillermo Madrazo" (CEPIHA)
Uruguay|Anestesia Analgesia Reanimación||Anest Analg Reanim|aar|0255-8122||0255-8122|Sociedad de Anestesiología del Uruguay
Portugal|Angiologia e Cirurgia Vascular||Angiol Cir Vasc|ang|1646-706X|1646-706X||Sociedade Portuguesa de Angiologia e Cirurgia Vascular
Public Health|Annali dell'Istituto Superiore di Sanità||Ann. Ist. Super. Sanità|aiss|0021-2571|0021-2571||Istituto Superiore di Sanità
Peru|Anthropologica||Anthropologica|anthro|0254-9212|0254-9212||Pontificia Universidad Católica del Perú. Departamento de Ciencias Sociales
Colombia|Antipoda. Revista de Antropología y Arqueología||Antipod. Rev. Antropol. Arqueol.|antpo|1900-5407|1900-5407||Departamento de Antropología, Facultad de Ciencias Sociales, Universidad de los Andes
Colombia|Anuario Colombiano de Historia Social y de la Cultura||Anu. colomb. hist. soc. cult.|achsc|0120-2456|0120-2456||Universidad Nacional de Colombia, Facultad de Ciencias Humanas, Departamento de Historia.
Colombia|Anuario de Historia Regional y de las Fronteras||Anu.hist.reg.front.|rahrf|0122-2066|0122-2066||Universidad Industrial de Santander
Argentina|Anuario de investigaciones||Anu. investig.|anuinv|1851-1686||1851-1686|Universidad de Buenos Aires. Facultad de Psicología
Mexico|Anuario mexicano de derecho internacional||Anu. Mex. Der. Inter|amdi|1870-4654|1870-4654||UNAM, Instituto de Investigaciones Jurídicas
Portugal|Análise Psicológica||Aná. Psicológica|aps|0870-8231|0870-8231|1646-6020|Instituto Superior de Psicologia Aplicada
Portugal|Análise Social||Anál. Social|aso|0003-2573|0003-2573||Instituto de Ciências Sociais da Universidade de Lisboa
Argentina|Análisis filosófico||Anal. filos.|anafil|1851-9636||1851-9636|SADAF
Colombia|Análisis Político||anal.polit.|anpol|0121-4705|0121-4705||Instituto de Estudios Políticos y Relaciones Internacionales (IEPRI), Universidad Nacional de Colombia
Peru|Aporte Santiaguino||Aporte Santiaguino|as|2070-836X|2070-836X||Universidad Nacional Santiago Antúnez de Mayolo
Peru|Apuntes Universitarios||Apunt. univ.|au|2304-0335||2304-0335|Universidad Peruana Union
Colombia|Apuntes: Revista de Estudios sobre Patrimonio Cultural - Journal of Cultural Heritage Studies||Apuntes|apun|1657-9763|1657-9763||Pontificia Universidad Javeriana
Colombia|Aquichán||Aquichán|aqui|1657-5997|1657-5997||Universidad de La Sabana
Brazil|Archives of Clinical Psychiatry (São Paulo)||Arch. Clin. Psychiatry (São Paulo)|rpc|0101-6083|0101-6083||Faculdade de Medicina da Universidade de São Paulo
Brazil|Archives of Endocrinology and Metabolism||Arch. Endocrinol. Metab.|aem|2359-3997|2359-3997|2359-4292|Sociedade Brasileira de Endocrinologia e Metabologia
Argentina|Archivos argentinos de pediatría|Arch Argent Pediatr|Arch. argent. pediatr.|aap|0325-0075|0325-0075|1668-3501|Sociedad Argentina de Pediatría
Mexico|Archivos de cardiología de México||Arch. Cardiol. Méx.|acm|1405-9940|1405-9940||Elsevier
Spain|Archivos de la Sociedad Española de Oftalmología|Arch Soc Esp Oftalmol|Arch Soc Esp Oftalmol|aseo|0365-6691|0365-6691||Sociedad Española de Oftalmología
Uruguay|Archivos de Medicina Interna||Arch Med Int|ami|0250-3816||0250-3816|Prensa Medica Latinoamericana
Chile|Archivos de medicina veterinaria||Arch. med. vet.|amv|0301-732X|0301-732X||Facultad de Ciencias Veterinarias, Universidad Austral de Chile
Mexico|Archivos de neurociencias (México, D.F.)||Arch. Neurocien. (Mex., D.F.)|aneuroc|0187-4705|0187-4705||Instituto Nacional de Neurología y Neurocirugía
Uruguay|Archivos de Pediatría del Uruguay||Arch. Pediatr. Urug.|adp|0004-0584||0004-0584|Sociedad Uruguaya de Pediatría
Spain|Archivos de Zootecnia||Arch. zootec.|azoo|0004-0592|0004-0592||Universidad de Córdoba
Spain|Archivos Españoles de Urología (Ed. impresa)|Arch. Esp. Urol.|Arch. Esp. Urol.|urol|0004-0614|0004-0614||INIESTARES, S.A.
Peru|Areté||arete|arete|1016-913X|1016-913X||Pontificia Universidad Católica del Perú . Departamento de Humanidades
Argentina|Argos||Argos|argos|1853-6379||1853-6379|Asociación Argentina de Estudios Clásicos
Mexico|Argumentos (México, D.F.)||Argumentos (Méx.)|argu|0187-5795|0187-5795||División de Ciencias Sociales y Humanidades, UAM-Unidad Xochimilco
Peru|Arnaldoa||Arnaldoa|arnal|1815-8242|1815-8242||Universidad Privada Antenor Orrego. Museo de Historia Natural
Chile|ARQ (Santiago)||ARQ (Santiago)|arq|0717-6996||0717-6996|Pontificia Universidad Católica de Chile, Escuela de Arquitectura
Cuba|Arquitectura y Urbanismo||Arquitectura y Urbanismo|au|1815-5898||1815-5898|Instituto Superior Politécnico José Antonio Echeverría
Brazil|Arquivo Brasileiro de Medicina Veterinária e Zootecnia||Arq. Bras. Med. Vet. Zootec.|abmvz|0102-0935|0102-0935||Universidade Federal de Minas Gerais, Escola de Veterinária
Brazil|Arquivos Brasileiros de Cardiologia|Arq Bras Cardiol|Arq. Bras. Cardiol.|abc|0066-782X|0066-782X||Sociedade Brasileira de Cardiologia - SBC
Brazil|Arquivos Brasileiros de Endocrinologia & Metabologia|Arq Bras Endocrinol Metabol.|Arq Bras Endocrinol Metab|abem|0004-2730|0004-2730||Sociedade Brasileira de Endocrinologia e Metabologia
Brazil|Arquivos Brasileiros de Oftalmologia|Arq Bras Oftalmol|Arq. Bras. Oftalmol.|abo|0004-2749|0004-2749||Conselho Brasileiro de Oftalmologia
Brazil|Arquivos de Gastroenterologia|Arq Gastroenterol|Arq. Gastroenterol.|ag|0004-2803|0004-2803||Instituto Brasileiro de Estudos e Pesquisas de Gastroenterologia - IBEPEGE-Colégio Brasileiro de Cirurgia Digestiva - CBCD-Sociedade Brasileira de Motilidade Digestiva - SBMD-Federação Brasileira de Gastroenterologia - FBG-Sociedade Brasileira de Hepatologia - SBH-Sociedade Brasileira de Endoscopia Digestiva - SOBED
Portugal|Arquivos de Medicina||Arq Med|am|0871-3413|0871-3413|2183-2447|ArquiMed - Edições Científicas AEFMUP
Brazil|Arquivos de Neuro-Psiquiatria|Arq Neuropsiquiatr|Arq. Neuro-Psiquiatr.|anp|0004-282X|0004-282X||Academia Brasileira de Neurologia - ABNEURO
Brazil|Arquivos do Instituto Biológico||Arq. Inst. Biol.|aib|1808-1657||1808-1657|Instituto Biológico
Brazil|Arquivos Internacionais de Otorrinolaringologia||Arquivos Int. Otorrinolaringol.|aio|1809-4872|1809-4872||Fundação Otorrinolaringologia
Brazil|ARS (São Paulo)||ARS (São Paulo)|ars|1678-5320|1678-5320||Escola de Comunicações e Artes da Universidade de São Paulo
Spain|Ars Pharmaceutica (Internet)||Ars Pharm|ars|2340-9894||2340-9894|Universidad de Granada
Chile|Atenea (Concepción)||Atenea (Concepc.)|atenea|0718-0462||0718-0462|Universidad de Concepción
Mexico|Atmósfera||Atmósfera|atm|0187-6236|0187-6236||Centro de Ciencias de la Atmósfera, UNAM
Brazil|Audiology - Communication Research||Audiol., Commun. Res.|acr|2317-6431||2317-6431|Academia Brasileira de Audiologia
Brazil|Avaliação: Revista da Avaliação da Educação Superior (Campinas)||Avaliação (Campinas)|aval|1414-4077|1414-4077||Universidade de Sorocaba
Colombia|Avances en Enfermería||av.enferm.|aven|0121-4500||0121-4500|Universidad Nacional de Colombia
Spain|Avances en Odontoestomatología|Av Odontoestomatol|Av Odontoestomatol|odonto|0213-1285|0213-1285||Ediciones Avances, S.L.
Spain|Avances en Periodoncia e Implantología Oral||Avances en Periodoncia|peri|1699-6585|1699-6585||Ediciones Avances, S.L.
Colombia|Avances en Psicología Latinoamericana||Av. Psicol. Latinoam.|apl|1794-4724|1794-4724||Universidad del Rosario
Argentina|Avá||Avá|ava|1851-1694||1851-1694|Universidad Nacional de Misiones. Facultad de Humanidades y Ciencias Sociales. Secretaría de Investigación. Programa de Posgrado en Antropología Social.
Argentina|BAG. Journal of basic and applied genetics||BAG, J. basic appl. genet.|bag|1852-6233||1852-6233|Sociedad Argentina de Genética
Brazil|Bakhtiniana: Revista de Estudos do Discurso||Bakhtiniana, Rev. Estud. Discurso|bak|2176-4573||2176-4573|LAEL/PUC-SP (Programa de Estudos Pós-Graduados em Linguística Aplicada e Estudos da Linguagem da Pontifícia Universidade Católica de São Paulo)
Brazil|BAR - Brazilian Administration Review||BAR, Braz. Adm. Rev.|bar|1807-7692||1807-7692|ANPAD - Associação Nacional de Pós-Graduação e Pesquisa em Administração
Peru|Biblios||Biblios|biblios|1562-4730||1562-4730|Grupo Biblios Perú
Argentina|Biocell|Biocell (Mendoza)|Biocell|biocell|0327-9545|0327-9545|1667-5746|Sociedad Latinoamericana de Microscopía Electrónica.; Centro Regional de Investigaciones Científicas y Tecnológicas (Mendoza, Argentina)
Chile|Biological Research||Biol. Res.|bres|0716-9760|0716-9760||Sociedad de Biología de Chile
Colombia|Biomédica||Biomédica|bio|0120-4157|0120-4157||Instituto Nacional de Salud
Colombia|Biosalud||Biosalud|biosa|1657-9550|1657-9550||Universidad de Caldas
Brazil|Biota Neotropica||Biota Neotrop.|bn|1676-0603||1676-0603|Instituto Virtual da Biodiversidade | BIOTA - FAPESP
Cuba|Biotecnología Aplicada||Biotecnol Apl|bta|1027-2852||1027-2852|Editorial Elfos Scientiae
Colombia|Biotecnología en el Sector Agropecuario y Agroindustrial||Rev.Bio.Agro|bsaa|1692-3561|1692-3561||Taller Editorial Universidad del Cauca
Brazil|Bolema: Boletim de Educação Matemática||Bolema|bolema|0103-636X|0103-636X||UNESP - Universidade Estadual Paulista, Pró-Reitoria de Pesquisa-Programa de Pós-Graduação em Educação Matemática
Brazil|Boletim de Ciências Geodésicas||Bol. Ciênc. Geod.|bcg|1982-2170||1982-2170|Universidade Federal do Paraná
Brazil|Boletim do Instituto Oceanográfico||Bol. Inst. Oceanogr.|bioce|0373-5524|0373-5524||Instituto Oceanográfico da Universidade de São Paulo
Brazil|Boletim do Instituto Paulista de Oceanografia||Bol. Inst. Paul. Oceanogr.|bipoce|0100-4239|0100-4239||Instituto Oceanográfico da Universidade de São Paulo
Brazil|Boletim do Museu Paraense Emílio Goeldi. Ciências Humanas||Bol. Mus. Para. Emílio Goeldi. Ciênc. hum.|bgoeldi|1981-8122|1981-8122||MCTI/Museu Paraense Emílio Goeldi
Colombia|Boletin de Geología||bol.geol.|boge|0120-0283|0120-0283||Universidad Industrial de Santander
Chile|Boletín chileno de parasitología||Bol. chil. parasitol.|bcpar|0365-9402|0365-9402||Programa de Parasitología. Instituto de Ciencias Biomédicas. Facultad de Medicina. Universidad de Chile
Colombia|Boletín Científico. Centro de Museos. Museo de Historia Natural||Bol. Cient. Mus. Hist. Nat. Univ. Caldas|bccm|0123-3068|0123-3068||Universidad de Caldas. Vicerrectoría de Investigaciones y Postgrados
Colombia|Boletín de Ciencias de la Tierra||Bol. cienc. tierra|bcdt|0120-3630|0120-3630||Universidad Nacional de Colombia
Chile|Boletín de filología||Boletín de Filología|bfilol|0718-9303||0718-9303|Universidad de Chile, Facultad de Filosofía y Humanidades,-Departamento de Lingüística
Colombia|Boletín de Investigaciones Marinas y Costeras - INVEMAR||bol. invemar|mar|0122-9761|0122-9761||INSTITUTO DE INVESTIGACIONES MARINAS Y COSTERAS "JOSE BENITO VIVES DE ANDRÉIS" (INVEMAR)
Argentina|Boletín de la Sociedad Argentina de Botánica||Bol. Soc. Argent. Bot.|bsab|1851-2372||1851-2372|Sociedad Argentina de Botánica
Mexico|Boletín de la Sociedad Botánica de México||Bol. Soc. Bot. Méx|bsbm|0366-2128|0366-2128||Sociedad Botánica de México A.C.
Chile|Boletín de la Sociedad Chilena de Química||Bol. Soc. Chil. Quím.|bscq|0366-1644|0366-1644||Sociedad Chilena de Química
Mexico|Boletín de la Sociedad Geológica Mexicana||Bol. Soc. Geol. Mex|bsgm|1405-3322|1405-3322||Sociedad Geológica Mexicana, A.C.
Argentina|Boletín del Instituto de Historia Argentina y Americana Dr. Emilio Ravignani||Bol. Inst. Hist. Argent. Am. Dr. Emilio Ravignani|bihaar|0524-9767|0524-9767|1850-2563|Universidad de Buenos Aires. Facultad de Filosofía y Letras. Instituto de Historia Argentina y Americana "Dr. Emilio Ravignani"
Chile|Boletín del Museo Chileno de Arte Precolombino||Bol. Mus. Chil. Arte Precolomb.|bmchap|0718-6894||0718-6894|Museo Chileno de Arte Precolombino
Mexico|Boletín mexicano de derecho comparado||Bol. Mex. Der. Comp.|bmdc|0041-8633|0041-8633||Instituto de Investigaciones Jurídicas, UNAM
Mexico|Boletín médico del Hospital Infantil de México||Bol. Med. Hosp. Infant. Mex.|bmim|1665-1146|1665-1146||Instituto Nacional de Salud, Hospital Infantil de México Federico Gómez
Chile|Bosque (Valdivia)||Bosque (Valdivia)|bosque|0717-9200||0717-9200|Universidad Austral de Chile, Facultad de Ciencias Forestales
Mexico|Botanical Sciences||Bot. sci|bs|2007-4298|2007-4298|2007-4476|Sociedad Botánica de México A.C.
Brazil|Bragantia||Bragantia|brag|0006-8705|0006-8705|1678-4499|Instituto Agronômico de Campinas
Brazil|Brazilian Archives of Biology and Technology||Braz. arch. biol. technol.|babt|1516-8913|1516-8913||Instituto de Tecnologia do Paraná - Tecpar
Brazil|Brazilian Dental Journal|Braz Dent J|Braz. Dent. J.|bdj|0103-6440|0103-6440||Fundação Odontológica de Ribeirão Preto
Brazil|Brazilian Journal of Biology|Braz J Biol.|Braz. J. Biol.|bjb|1519-6984|1519-6984||Instituto Internacional de Ecologia
Brazil|Brazilian Journal of Botany||Braz. J. Bot.|rbb|0100-8404|0100-8404|1806-9959|Sociedade Botânica de São Paulo
Brazil|Brazilian Journal of Chemical Engineering||Braz. J. Chem. Eng.|bjce|0104-6632|0104-6632||Brazilian Society of Chemical Engineering
Brazil|Brazilian Journal of Food Technology||Braz. J. Food Technol.|bjft|1981-6723||1981-6723|Instituto de Tecnologia de Alimentos - ITAL
Brazil|Brazilian Journal of Genetics||Braz. J. Genet.|bjg|0100-8455|0100-8455||Sociedade Brasileira de Genética
Brazil|Brazilian Journal of Geology||Braz. J. Geol.|bjgeo|2317-4889|2317-4889||Sociedade Brasileira de Geologia
Brazil|Brazilian Journal of Infectious Diseases|Braz J Infect Dis|Braz J Infect Dis|bjid|1413-8670|1413-8670||Brazilian Society of Infectious Diseases
Brazil|Brazilian Journal of Medical and Biological Research|Braz J Med Biol Res|Braz J Med Biol Res|bjmbr|0100-879X|0100-879X|1414-431X|Associação Brasileira de Divulgação Científica
Brazil|Brazilian Journal of Microbiology||Braz. J. Microbiol.|bjm|1517-8382|1517-8382||Sociedade Brasileira de Microbiologia
Brazil|Brazilian Journal of Oceanography||Braz. j. oceanogr.|bjoce|1679-8759|1679-8759|1982-436X|Universidade de São Paulo, Instituto Oceanográfico
Brazil|Brazilian Journal of Oral Sciences||Braz. J. Oral Sci.|bjos|1677-3225||1677-3225|Faculdade de Odontologia de Piracicaba - UNICAMP
Brazil|Brazilian Journal of Otorhinolaryngology|Braz J Otorhinolaryngol|Braz. j. otorhinolaryngol.|bjorl|1808-8694|1808-8694||Associação Brasileira de Otorrinolaringologia e Cirurgia Cervicofacial
Brazil|Brazilian Journal of Pharmaceutical Sciences||Braz. J. Pharm. Sci.|bjps|1984-8250|1984-8250||Universidade de São Paulo, Faculdade de Ciências Farmacêuticas
Brazil|Brazilian Journal of Physical Therapy||Braz. J. Phys. Ther.|rbfis|1413-3555|1413-3555||Associação Brasileira de Pesquisa e Pós-Graduação em Fisioterapia
Brazil|Brazilian Journal of Physics||Braz. J. Phys.|bjp|0103-9733|0103-9733||Sociedade Brasileira de Física
Brazil|Brazilian Journal of Plant Physiology||Braz. J. Plant Physiol.|bjpp|1677-0420|1677-0420||Brazilian Journal of Plant Physiology
Brazil|Brazilian Journal of Veterinary Research and Animal Science||Braz. J. Vet. Res. Anim. Sci.|bjvras|1413-9596|1413-9596||Faculdade de Medicina Veterinária e Zootecnia / Universidade de São Paulo
Brazil|Brazilian Oral Research|Braz. oral res|Braz. oral res.|bor|1806-8324|1806-8324|1807-3107|Sociedade Brasileira de Pesquisa Odontológica - SBPqO
Social Sciences|Brazilian Political Science Review (Online)||Braz. political sci. rev. (Online)|bpsr|1981-3821||1981-3821|Associação Brasileira de Ciência Política
Brazil|Brazilian Political Science Review||Bras. Political Sci. Rev.|bpsr|1981-3821||1981-3821|Associação Brasileira de Ciência Política
Public Health|Bulletin of the World Health Organization||Bull World Health Organ|bwho|0042-9686|0042-9686||World Health Organization
Chile|Byzantion nea hellás||Byzantion nea hellás|byzantion|0718-8471||0718-8471|Centro de Estudios Griegos Bizantinos y Neohelénicos. Facultad de Filosofía, Humanidades y Educación.-Universidad de Chile.
Brazil|Caderno CRH||Cad. CRH|ccrh|0103-4979|0103-4979||Universidade Federal da Bahia - Faculdade de Filosofia e Ciências Humanas - Centro de Recursos Humanos
Brazil|Caderno de Estudos||Cad. estud.|cest|1413-9251|1413-9251||Fundação Instituto de Pesquisas Contábeis, Atuariais e Financeiras
Brazil|Cadernos CEDES||Cad. CEDES|ccedes|0101-3262|0101-3262||Centro de Estudos Educação e Sociedade
