"Mozambique"	"Moçambique"	"Mozambique"
"Namibia"	"Namíbia"	"Namibia"
"New Caledonia"	"Nova Caledônia"	"Nueva Caledonia"
"Niger"	"Níger"	"Níger"
"Nigeria"	"Nigéria"	"Nigeria"
"Nicaragua"	"Nicarágua"	"Nicaragua"
"Netherlands"	"Holanda"	"Holanda"
"Norway"	"Noruega"	"Noruega"
"Nepal"	"Nepal"	"Nepal"
"Nauru"	"Nauru"	"Nauru"
"Niue"	"Niue"	"Niue"
"New Zealand"	"Nova Zelândia"	"Nueva Zelandia"
"Oman"	"Omã"	"Omán"
"Panama"	"Panamá"	"Panamá"
"Peru"	"Perú"	"Perú"
"Polynesia"	"Polinésia"	"Polinesia"
"Papua New Guinea"	"Papua Nova Guiné"	"Papua Nueva Guinea"
"Philippines"	"Filipinas"	"Filipinas"
"Pakistan"	"Paquistão"	"Pakistán"
"Poland"	"Polônia"	"Polonia"
"Puerto Rico"	"Porto Rico"	"Puerto Rico"
"Portugal"	"Portugal"	"Portugal"
"Palau"	"Palau"	"Palau"
"Paraguay"	"Paraguai"	"Paraguay"
"Qatar"	"Catar"	"Catar"
"Romania"	"Romênia"	"Rumania"
"Russia"	"Rússia"	"Rusia"
"Rwanda"	"Ruanda"	"Ruanda"
"Saudi Arabia"	"Arábia Saudita"	"Arabia Saudita"
"Solomon Islands"	"Ilhas Salomão"	"Islas Salomón"
"Seychelles"	"Seychelles"	"Seychelles"
"Sudan"	"Sudão"	"Sudán"
"Sweden"	"Suécia"	"Suecia"
"Singapore"	"Cingapura"	"Singapur"
"Saint Helena"	"Santa Helena"	"Santa Elena"
"Slovenia"	"Eslovênia"	"Eslovenia"
"Sierra Leone"	"Serra Leoa"	"Sierra Leona"
"San Marino"	"San Marino"	"San Marino"
"Senegal"	"Senegal"	"Senegal"
"Somalia"	"Somália"	"Somalia"
"Suriname"	"Suriname"	"Surinam"
"Saint Tome and Principe"	"São Tomé e Príncipe"	"Santo Tomé y Príncipe"
"El Salvador"	"El Salvador"	"El Salvador"
"Syria"	"Síria"	"Siria"
"Turks and Caicos Islands"	"Ilhas Turcas e Caicos"	"Islas Turcas y Caicos"
"Chad"	"Chade"	"Chad"
"Togo"	"Togo"	"Togo"
"Thailand"	"Tailândia"	"Tailandia"
"Tadjikistan"	"Tajiquistão"	"Tayikistán"
"Tokelau"	"Toquelau"	"Tokelau"
"Turkmenistan"	"Turquemenistão"	"Turkmenistán"
"Tunisia"	"Tunísia"	"Túnez"
"Tonga"	"Tonga"	"Tonga"
"East Timor"	"Timor Leste"	"Timor Leste"
"Turkey"	"Turquia"	"Turquía"
"Trinidad Tobago"	"Trinidad e Tobago"	"Trinidad y Tobago"
"Tuvalu"	"Tuvalu"	"Tuvalu"
"Taiwan"	"Taiwan"	"Taiwán"
"Tanzania"	"Tanzânia"	"Tanzania"
"Ukraine"	"Ucrânia"	"Ucrania"
"Uganda"	"Uganda"	"Uganda"
"United Kingdom"	"Reino Unido"	"Reino Unido"
"USA"	"EUA"	"EUA"
"Uruguay"	"Uruguai"	"Uruguay"
"Uzbekistan"	"Uzbequistão"	"Uzbekistán"
"Vatican City State"	"Estado do Vaticano"	"Ciudad del Vaticano"
"Saint Vincent & Grenadines"	"São Vicente e Granadinas"	"San Vicente y las Granadinas"
"Venezuela"	"Venezuela"	"Venezuela"
"Vietnam"	"Vietnã"	"Vietnam"
"Vanuatu"	"Vanuatu"	"Vanuatu"
"Samoa"	"Samoa"	"Samoa"
"Yemen"	"Iémen"	"Yemen"
"Mayotte"	"Mayotte"	"Mayotte"
"Montenegro"	"Montenegro"	"Montenegro"
"South Africa"	"África do Sul"	"Sudáfrica"
"Zambia"	"Zâmbia"	"Zambia"
"Zaire"	"Zaire"	"Zaire"
"Zimbabwe"	"Zimbábue"	"Zimbabue"
"Serbia"	"Sérvia"	"Serbia"
